time,G
5.47,533290.4903375474
5.48,533290.1584840659
5.49,533290.195527892
5.5,533289.9548794823
5.51,533289.8446868524
5.5200000000000005,533289.6913222908
5.53,533289.5836454738
5.54,533289.3731582208
5.55,533289.2026526048
5.5600000000000005,533289.1514621649
5.57,533288.8183772113
5.58,533288.7876186839
5.59,533288.5692218216
5.6000000000000005,533288.4485555869
5.61,533288.4372132993
5.62,533288.1844369486
5.63,533288.0464365049
5.64,533287.7976212229
5.65,533287.700263524
5.66,533287.5965600638
5.67,533287.4544865607
5.68,533287.3176095315
5.69,533287.137213172
5.7,533287.0131486064
5.71,533286.859504156
5.72,533286.5953447499
5.73,533286.538698812
5.74,533286.4252604473
5.75,533286.2663761645
5.76,533286.068706125
5.7700000000000005,533285.8966346779
5.78,533285.7310173901
5.79,533285.6303973146
5.8,533285.5436210834
5.8100000000000005,533285.239394004
5.82,533285.1540067878
5.83,533284.9800284625
5.84,533284.9262837176
5.8500000000000005,533284.7093376622
5.86,533284.563538608
5.87,533284.4262404054
5.88,533284.309374985
5.89,533284.1175033567
5.9,533283.8348331834
5.91,533283.8643235059
5.92,533283.7091276797
5.93,533283.5262161467
5.94,533283.3330090789
5.95,533283.2548176727
5.96,533283.1062082466
5.97,533282.9137626741
5.98,533282.7764456385
5.99,533282.5907923264
6.0,533282.4783886819
6.01,533282.2598146998
6.0200000000000005,533282.208220184
6.03,533281.99015394
6.04,533281.899295689
6.05,533281.6671105985
6.0600000000000005,533281.5579241201
6.07,533281.4319208357
6.08,533281.2044286646
6.09,533281.1432394438
6.1000000000000005,533280.9685431122
6.11,533280.7504011663
6.12,533280.6223753698
6.13,533280.5678120885
6.140000000000001,533280.4323525062
6.15,533280.2309979429
6.16,533280.107850179
6.17,533279.9488230255
6.18,533279.8041308011
6.19,533279.7019677024
6.2,533279.4123374777
6.21,533279.3715293754
6.22,533279.1686248778
6.23,533279.026531411
6.24,533278.872650949
6.25,533278.719025203
6.26,533278.5264919181
6.2700000000000005,533278.446987902
6.28,533278.3713873537
6.29,533278.1350528565
6.3,533277.9878096064
6.3100000000000005,533277.8035333032
6.32,533277.6820439699
6.33,533277.5612455059
6.34,533277.3694445959
6.3500000000000005,533277.2152860943
6.36,533277.1081591477
6.37,533276.892115352
6.38,533276.8006601371
6.390000000000001,533276.6790711563
6.4,533276.5560722998
6.41,533276.3335756243
6.42,533276.2564944841
6.43,533276.0898550593
6.44,533275.8383439215
6.45,533275.6772776619
6.46,533275.5729464851
6.47,533275.4896615667
6.48,533275.2846206124
6.49,533275.1082223009
6.5,533275.0658875995
6.51,533274.8526409721
6.5200000000000005,533274.5722863867
6.53,533274.5541945301
6.54,533274.4143589733
6.55,533274.2496578647
6.5600000000000005,533274.1108835718
6.57,533273.9350547667
6.58,533273.7225193797
6.59,533273.6199246446
6.6000000000000005,533273.4411997718
6.61,533273.2918642787
6.62,533273.1253687149
6.63,533273.0611674405
6.640000000000001,533272.8934586924
6.65,533272.7161765617
6.66,533272.5561389237
6.67,533272.4374557006
6.68,533272.3426076735
6.69,533272.0384582782
6.7,533272.0075340624
6.71,533271.8114258555
6.72,533271.5945034254
6.73,533271.4414688725
6.74,533271.3431362063
6.75,533271.2497722589
6.76,533271.1084713734
6.7700000000000005,533270.8918906391
6.78,533270.8397123041
6.79,533270.7100320114
6.8,533270.5087087936
6.8100000000000005,533270.3093560041
6.82,533270.2451688155
6.83,533270.0767394054
6.84,533269.9323618009
6.8500000000000005,533269.706190102
6.86,533269.4473074615
6.87,533269.5448966842
6.88,533269.208535205
6.890000000000001,533269.1373127591
6.9,533269.1081605132
6.91,533268.8556742121
6.92,533268.736629872
6.93,533268.4640699396
6.94,533268.3003286856
6.95,533268.2125992043
6.96,533268.1437941869
6.97,533267.9219666296
6.98,533267.7495697333
6.99,533267.6492224067
7.0,533267.5434433414
7.01,533267.2671221544
7.0200000000000005,533267.1288646442
7.03,533266.999981006
7.04,533266.944169108
7.05,533266.7512010316
7.0600000000000005,533266.6960904375
7.07,533266.4863279104
7.08,533266.2877737678
7.09,533266.2028053668
7.1000000000000005,533266.0001493193
7.11,533265.8043514402
7.12,533265.7236193349
7.13,533265.5048273902
7.140000000000001,533265.3751470437
7.15,533265.306079255
7.16,533265.0846493128
7.17,533264.8995796302
7.18,533264.766543173
7.19,533264.6908729904
7.2,533264.4621798764
7.21,533264.3204868623
7.22,533264.1643393078
7.23,533264.0490738051
7.24,533263.8706266737
7.25,533263.6598330359
7.26,533263.5455895135
7.2700000000000005,533263.3933328763
7.28,533263.3521621109
7.29,533263.1806537026
7.3,533263.0194068738
7.3100000000000005,533262.8147999389
7.32,533262.6493022732
7.33,533262.5147400112
7.34,533262.3375459727
7.3500000000000005,533262.3650241294
7.36,533261.977922205
7.37,533261.9684129372
7.38,533261.7260091642
7.390000000000001,533261.6350439189
7.4,533261.4408853559
7.41,533261.2814284102
7.42,533261.133324494
7.43,533261.1281081132
7.44,533260.8837339262
7.45,533260.702122825
7.46,533260.6182219157
7.47,533260.4409747118
7.48,533260.3264836579
7.49,533260.0492939065
7.5,533260.0057117497
7.51,533259.879191157
7.5200000000000005,533259.6075014067
7.53,533259.5630160371
7.54,533259.4754403486
7.55,533259.2399134275
7.5600000000000005,533259.1317516979
7.57,533258.9742350572
7.58,533258.7553564291
7.59,533258.6427452755
7.6000000000000005,533258.4124324736
7.61,533258.3182423734
7.62,533258.2041172853
7.63,533258.0770133182
7.640000000000001,533257.8921143523
7.65,533257.7769084305
7.66,533257.5357894769
7.67,533257.435875513
7.68,533257.2919499807
7.69,533257.2334912539
7.7,533256.9803290844
7.71,533256.8161123566
7.72,533256.6921565664
7.73,533256.4951591953
7.74,533256.4007784679
7.75,533256.2229139679
7.76,533256.0016263502
7.7700000000000005,533255.9382894445
7.78,533255.7753677075
7.79,533255.5596498323
7.8,533255.4879404708
7.8100000000000005,533255.4157912033
7.82,533255.2174148647
7.83,533255.0719723544
7.84,533254.8243275217
7.8500000000000005,533254.7652736851
7.86,533254.5988776999
7.87,533254.4679339826
7.88,533254.312639697
7.890000000000001,533254.0735458204
7.9,533253.9894914525
7.91,533253.8036946319
7.92,533253.6891106976
7.930000000000001,533253.496771629
7.94,533253.457292012
7.95,533253.1987467383
7.96,533253.0467751595
7.97,533252.9454785427
7.98,533252.7379212695
7.99,533252.620570104
8.0,533252.450332131
8.01,533252.4124161012
8.02,533252.2311748721
8.03,533252.0390384331
8.040000000000001,533251.8723783303
8.05,533251.7890123829
8.06,533251.6122540709
8.07,533251.4669238977
8.08,533251.2907391216
8.09,533251.0576647334
8.1,533250.9864804826
8.11,533250.8155068783
8.120000000000001,533250.724411776
8.13,533250.5927788176
8.14,533250.3593168728
8.15,533250.2656614615
8.16,533250.1790639698
8.17,533249.9089122496
8.18,533249.8764218839
8.19,533249.5997244613
8.2,533249.4935297439
8.21,533249.3418525233
8.22,533249.1930128422
8.23,533249.0005821341
8.24,533248.8629350654
8.25,533248.7091364363
8.26,533248.6088988557
8.27,533248.4590808027
8.28,533248.4039046302
8.290000000000001,533248.2111852762
8.3,533247.9671721213
8.31,533247.8589362674
8.32,533247.7425772343
8.33,533247.5442800206
8.34,533247.3892964903
8.35,533247.2453860017
8.36,533247.1361998168
8.370000000000001,533246.9004487356
8.38,533246.7766101101
8.39,533246.6664441082
8.4,533246.5085237176
8.41,533246.3549594604
8.42,533246.1745192681
8.43,533246.0916651655
8.44,533245.9997608835
8.45,533245.7634173863
8.46,533245.5834669627
8.47,533245.4809420439
8.48,533245.2662276749
8.49,533245.1057291122
8.5,533244.9948834351
8.51,533244.7141325799
8.52,533244.6356043527
8.53,533244.5259332829
8.540000000000001,533244.3256914832
8.55,533244.1917583669
8.56,533244.0715827465
8.57,533243.8613015858
8.58,533243.7731759932
8.59,533243.6167458527
8.6,533243.494809445
8.61,533243.4012782552
8.620000000000001,533243.2022241892
8.63,533243.0446820295
8.64,533242.898631657
8.65,533242.7550586241
8.66,533242.5428821498
8.67,533242.4380104583
8.68,533242.3092169744
8.69,533242.0752716465
8.700000000000001,533242.0371225707
8.71,533241.8979390507
8.72,533241.6623318195
8.73,533241.5318641448
8.74,533241.3500519784
8.75,533241.2789610261
8.76,533241.0409614397
8.77,533240.9329293012
8.78,533240.7511377995
8.790000000000001,533240.6466621973
8.8,533240.4044337542
8.81,533240.4104990795
8.82,533240.1459765014
8.83,533240.0472324278
8.84,533239.8836424575
8.85,533239.7061938462
8.86,533239.5499415722
8.870000000000001,533239.4911815592
8.88,533239.2681107007
8.89,533239.1579823836
8.9,533238.9543802197
8.91,533238.8121272274
8.92,533238.7181299371
8.93,533238.5910693305
8.94,533238.3858144572
8.950000000000001,533238.1735157009
8.96,533238.1945409612
8.97,533237.9018471999
8.98,533237.7176268491
8.99,533237.7744590478
9.0,533237.4745678486
9.01,533237.2717145192
9.02,533237.1606609011
9.03,533237.0632419158
9.040000000000001,533236.9044120758
9.05,533236.7023419105
9.06,533236.6860964684
9.07,533236.418913268
9.08,533236.2357899314
9.09,533236.1930909854
9.1,533236.061541558
9.11,533235.8042459064
9.120000000000001,533235.6250853878
9.13,533235.5967069026
9.14,533235.2928510909
9.15,533235.1839185163
9.16,533235.1436542801
9.17,533234.942546764
9.18,533234.7821499885
9.19,533234.663020196
9.200000000000001,533234.4877731999
9.21,533234.280510186
9.22,533234.2592809359
9.23,533234.1117605632
9.24,533233.9058092263
9.25,533233.7478320821
9.26,533233.7125894502
9.27,533233.4318194417
9.28,533233.2826951545
9.290000000000001,533233.1639310314
9.3,533233.0693060774
9.31,533232.9254115736
9.32,533232.6828775061
9.33,533232.5612558473
9.34,533232.3269683046
9.35,533232.2303069109
9.36,533232.0539244805
9.370000000000001,533231.8956307421
9.38,533231.8800845405
9.39,533231.6064247921
9.4,533231.4694922958
9.41,533231.3643985422
9.42,533231.2610309232
9.43,533231.0702290187
9.44,533231.0341746664
9.450000000000001,533230.7425072056
9.46,533230.6092101656
9.47,533230.460088162
9.48,533230.3680944279
9.49,533230.1717377821
9.5,533229.9905982708
9.51,533229.7990692928
9.52,533229.7086999079
9.53,533229.6165790345
9.540000000000001,533229.3760268068
9.55,533229.2730272263
9.56,533229.1089216294
9.57,533228.9898244629
9.58,533228.7564450785
9.59,533228.7640494482
9.6,533228.432793418
9.61,533228.328508341
9.620000000000001,533228.2437249902
9.63,533228.061691535
9.64,533227.9383887432
9.65,533227.7221189229
9.66,533227.5932184403
9.67,533227.4476049839
9.68,533227.3754911062
9.69,533227.1815843632
9.700000000000001,533227.0369313493
9.71,533226.8142363167
9.72,533226.7456116764
9.73,533226.5584815962
9.74,533226.4666947927
9.75,533226.3479755943
9.76,533226.0819694028
9.77,533225.9270276858
9.78,533225.754175789
9.790000000000001,533225.6402343046
9.8,533225.478347295
9.81,533225.3654591203
9.82,533225.1902909377
9.83,533225.0294747383
9.84,533224.9508194285
9.85,533224.700731675
9.86,533224.6193166446
9.870000000000001,533224.4273997666
9.88,533224.3339509297
9.89,533224.2170312788
9.9,533223.9826490313
9.91,533223.8698913773
9.92,533223.7068152089
9.93,533223.5079403248
9.94,533223.4099867449
9.950000000000001,533223.2624393648
9.96,533223.1186628963
9.97,533222.9381354718
9.98,533222.8028011384
9.99,533222.5907471282
10.0,533222.4802581697
